Gmt time,Open,High,Low,Close,Volume
31.03.2018 21:00:00.000,1.40088,1.40088,1.40088,1.40088,0
31.03.2018 22:00:00.000,1.40088,1.40088,1.40088,1.40088,0
31.03.2018 23:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 00:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 01:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 02:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 03:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 04:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 05:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 06:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 07:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 08:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 09:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 10:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 11:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 12:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 13:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 14:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 15:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 16:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 17:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 18:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 19:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 20:00:00.000,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 21:00:00.000,1.40224,1.40328,1.40193,1.40273,704.78
01.04.2018 22:00:00.000,1.40270,1.40333,1.40203,1.40329,3268.3999
01.04.2018 23:00:00.000,1.40327,1.40379,1.40294,1.40355,2396.4099
02.04.2018 00:00:00.000,1.40355,1.40466,1.40301,1.40463,3417.6101
02.04.2018 01:00:00.000,1.40465,1.40561,1.40463,1.40500,3239.5701
02.04.2018 02:00:00.000,1.40500,1.40543,1.40434,1.40470,2792.1001
02.04.2018 03:00:00.000,1.40469,1.40474,1.40392,1.40426,2849.3701
02.04.2018 04:00:00.000,1.40426,1.40445,1.40392,1.40409,3073.3201
02.04.2018 05:00:00.000,1.40410,1.40475,1.40358,1.40473,2630.21
02.04.2018 06:00:00.000,1.40473,1.40523,1.40399,1.40495,3079.1899
02.04.2018 07:00:00.000,1.40493,1.40665,1.40480,1.40665,3497.8101
02.04.2018 08:00:00.000,1.40663,1.40698,1.40591,1.40658,3001.5701
02.04.2018 09:00:00.000,1.40660,1.40676,1.40613,1.40644,1715.55
02.04.2018 10:00:00.000,1.40647,1.40655,1.40575,1.40587,2204.49
02.04.2018 11:00:00.000,1.40586,1.40730,1.40581,1.40718,4090.6799
02.04.2018 12:00:00.000,1.40722,1.40775,1.40607,1.40615,5568.1802
02.04.2018 13:00:00.000,1.40615,1.40637,1.40381,1.40448,6306.1802
02.04.2018 14:00:00.000,1.40449,1.40596,1.40397,1.40551,6957.1099
02.04.2018 15:00:00.000,1.40553,1.40553,1.40259,1.40310,8650.3496
02.04.2018 16:00:00.000,1.40311,1.40357,1.40267,1.40340,5270.8501
02.04.2018 17:00:00.000,1.40339,1.40506,1.40281,1.40489,8776.6299
02.04.2018 18:00:00.000,1.40487,1.40493,1.40402,1.40423,8038.0801
02.04.2018 19:00:00.000,1.40429,1.40511,1.40402,1.40492,4755.8198
02.04.2018 20:00:00.000,1.40492,1.40492,1.40417,1.40430,3138.7
02.04.2018 21:00:00.000,1.40425,1.40501,1.40415,1.40493,1314.62
02.04.2018 22:00:00.000,1.40493,1.40513,1.40461,1.40485,1474.58
02.04.2018 23:00:00.000,1.40484,1.40530,1.40454,1.40464,1726.87
03.04.2018 00:00:00.000,1.40464,1.40544,1.40450,1.40519,2427.99
03.04.2018 01:00:00.000,1.40520,1.40618,1.40458,1.40527,4123.0898
03.04.2018 02:00:00.000,1.40527,1.40595,1.40518,1.40567,2874.28
03.04.2018 03:00:00.000,1.40567,1.40607,1.40554,1.40555,2559.95
03.04.2018 04:00:00.000,1.40555,1.40615,1.40534,1.40605,1962.5699
03.04.2018 05:00:00.000,1.40605,1.40616,1.40529,1.40583,2748.98
03.04.2018 06:00:00.000,1.40585,1.40749,1.40580,1.40722,6086.1802
03.04.2018 07:00:00.000,1.40723,1.40883,1.40640,1.40817,7969.4702
03.04.2018 08:00:00.000,1.40818,1.40868,1.40745,1.40803,8078.6299
03.04.2018 09:00:00.000,1.40803,1.40853,1.40681,1.40681,9056.2197
03.04.2018 10:00:00.000,1.40682,1.40746,1.40267,1.40276,8835.9004
03.04.2018 11:00:00.000,1.40278,1.40572,1.40208,1.40486,9157.2695
03.04.2018 12:00:00.000,1.40484,1.40721,1.40464,1.40631,7957.3101
03.04.2018 13:00:00.000,1.40631,1.40660,1.40319,1.40370,11377.21
03.04.2018 14:00:00.000,1.40370,1.40487,1.40323,1.40377,11558.3896
03.04.2018 15:00:00.000,1.40382,1.40770,1.40382,1.40665,9704.5195
03.04.2018 16:00:00.000,1.40666,1.40714,1.40544,1.40558,6245.5601
03.04.2018 17:00:00.000,1.40558,1.40658,1.40524,1.40526,5185.7598
03.04.2018 18:00:00.000,1.40526,1.40575,1.40489,1.40561,4537.1899
03.04.2018 19:00:00.000,1.40560,1.40611,1.40515,1.40523,3566.55
03.04.2018 20:00:00.000,1.40523,1.40595,1.40522,1.40557,2741.45
03.04.2018 21:00:00.000,1.40543,1.40613,1.40505,1.40595,912.92
03.04.2018 22:00:00.000,1.40595,1.40643,1.40578,1.40641,1339.53
03.04.2018 23:00:00.000,1.40641,1.40690,1.40598,1.40688,1525.91
04.04.2018 00:00:00.000,1.40688,1.40833,1.40623,1.40813,2918.96
04.04.2018 01:00:00.000,1.40816,1.40845,1.40748,1.40789,3073.3601
04.04.2018 02:00:00.000,1.40790,1.40962,1.40789,1.40877,4110.3701
04.04.2018 03:00:00.000,1.40877,1.40926,1.40826,1.40905,3509.45
04.04.2018 04:00:00.000,1.40905,1.40918,1.40839,1.40843,2136.1299
04.04.2018 05:00:00.000,1.40843,1.40864,1.40749,1.40784,3850.9099
04.04.2018 06:00:00.000,1.40785,1.40790,1.40646,1.40671,6823.6602
04.04.2018 07:00:00.000,1.40671,1.40834,1.40541,1.40832,8995.6104
04.04.2018 08:00:00.000,1.40833,1.40855,1.40679,1.40773,11324.0801
04.04.2018 09:00:00.000,1.40770,1.40798,1.40495,1.40500,9038.4297
04.04.2018 10:00:00.000,1.40499,1.40500,1.40283,1.40369,9489.3896
04.04.2018 11:00:00.000,1.40369,1.40476,1.40330,1.40395,9562.8896
04.04.2018 12:00:00.000,1.40396,1.40703,1.40146,1.40659,10076.0996
04.04.2018 13:00:00.000,1.40661,1.40810,1.40627,1.40794,8420.71
04.04.2018 14:00:00.000,1.40794,1.40889,1.40747,1.40841,9676.6504
04.04.2018 15:00:00.000,1.40842,1.40852,1.40725,1.40739,8598.5498
04.04.2018 16:00:00.000,1.40741,1.40825,1.40724,1.40813,6564.1899
04.04.2018 17:00:00.000,1.40815,1.40818,1.40729,1.40750,5653.7598
04.04.2018 18:00:00.000,1.40750,1.40793,1.40678,1.40743,5497.0498
04.04.2018 19:00:00.000,1.40741,1.40832,1.40734,1.40821,5182.5801
04.04.2018 20:00:00.000,1.40819,1.40823,1.40775,1.40782,3965.3899
04.04.2018 21:00:00.000,1.40782,1.40872,1.40720,1.40848,1211.8101
04.04.2018 22:00:00.000,1.40852,1.40882,1.40815,1.40861,1638.77
04.04.2018 23:00:00.000,1.40861,1.40887,1.40839,1.40874,1081.65
05.04.2018 00:00:00.000,1.40874,1.40968,1.40805,1.40936,3137.75
05.04.2018 01:00:00.000,1.40935,1.40956,1.40797,1.40838,3105.1399
05.04.2018 02:00:00.000,1.40837,1.40837,1.40751,1.40765,3129.5701
05.04.2018 03:00:00.000,1.40765,1.40847,1.40753,1.40806,2763.2
05.04.2018 04:00:00.000,1.40804,1.40805,1.40687,1.40700,1911.05
05.04.2018 05:00:00.000,1.40697,1.40736,1.40612,1.40643,3259.1201
05.04.2018 06:00:00.000,1.40641,1.40686,1.40521,1.40532,5639.6699
05.04.2018 07:00:00.000,1.40535,1.40665,1.40462,1.40540,9138.5898
05.04.2018 08:00:00.000,1.40540,1.40612,1.40323,1.40395,8881.4697
05.04.2018 09:00:00.000,1.40396,1.40689,1.40396,1.40619,6853.1699
05.04.2018 10:00:00.000,1.40622,1.40655,1.40499,1.40641,7217.4399
05.04.2018 11:00:00.000,1.40640,1.40691,1.40235,1.40285,7664.04
05.04.2018 12:00:00.000,1.40285,1.40296,1.40000,1.40166,10233.25
05.04.2018 13:00:00.000,1.40166,1.40315,1.40101,1.40226,9413.7402
05.04.2018 14:00:00.000,1.40225,1.40244,1.39869,1.39984,10493.2695
05.04.2018 15:00:00.000,1.39985,1.40007,1.39652,1.39903,9406
05.04.2018 16:00:00.000,1.39904,1.40034,1.39871,1.39872,27101.5996
05.04.2018 17:00:00.000,1.39872,1.39976,1.39821,1.39968,5539.7202
05.04.2018 18:00:00.000,1.39967,1.40023,1.39912,1.40012,3700.1599
05.04.2018 19:00:00.000,1.40012,1.40023,1.39970,1.40021,3191.01
05.04.2018 20:00:00.000,1.40020,1.40059,1.39989,1.40015,2542.4099
05.04.2018 21:00:00.000,1.40015,1.40050,1.39987,1.40011,965.04
05.04.2018 22:00:00.000,1.40015,1.40057,1.40005,1.40028,2246.55
05.04.2018 23:00:00.000,1.40031,1.40087,1.39992,1.40060,3176.6101
06.04.2018 00:00:00.000,1.40060,1.40108,1.40048,1.40070,3532.3701
06.04.2018 01:00:00.000,1.40070,1.40211,1.40066,1.40178,3065.0601
06.04.2018 02:00:00.000,1.40178,1.40193,1.40129,1.40131,2342.96
06.04.2018 03:00:00.000,1.40135,1.40150,1.39998,1.40013,4711.6001
06.04.2018 04:00:00.000,1.40013,1.40018,1.39923,1.39972,5495.4102
06.04.2018 05:00:00.000,1.39970,1.39971,1.39875,1.39920,5177.4399
06.04.2018 06:00:00.000,1.39920,1.40018,1.39857,1.39951,5778.1299
06.04.2018 07:00:00.000,1.39950,1.39991,1.39827,1.39984,7227.1201
06.04.2018 08:00:00.000,1.39982,1.40094,1.39930,1.40049,6217.1602
06.04.2018 09:00:00.000,1.40049,1.40146,1.40037,1.40122,6425.0298
06.04.2018 10:00:00.000,1.40122,1.40248,1.40106,1.40141,5092.1299
06.04.2018 11:00:00.000,1.40142,1.40153,1.40007,1.40033,6750.4902
06.04.2018 12:00:00.000,1.40034,1.40376,1.40027,1.40345,12458.1904
06.04.2018 13:00:00.000,1.40345,1.40788,1.40280,1.40733,13169.2002
06.04.2018 14:00:00.000,1.40734,1.41055,1.40680,1.40822,11659.46
06.04.2018 15:00:00.000,1.40820,1.40956,1.40820,1.40876,9054.8203
06.04.2018 16:00:00.000,1.40875,1.40937,1.40829,1.40844,7018.2002
06.04.2018 17:00:00.000,1.40847,1.40877,1.40757,1.40867,6240.8101
06.04.2018 18:00:00.000,1.40869,1.41016,1.40799,1.40850,6497.6802
06.04.2018 19:00:00.000,1.40850,1.40948,1.40840,1.40894,6302.1899
06.04.2018 20:00:00.000,1.40894,1.40918,1.40814,1.40814,3826.8701
06.04.2018 21:00:00.000,1.40814,1.40814,1.40814,1.40814,0
06.04.2018 22:00:00.000,1.40814,1.40814,1.40814,1.40814,0
06.04.2018 23:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 00:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 01:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 02:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 03:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 04:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 05:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 06:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 07:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 08:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 09:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 10:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 11:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 12:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 13:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 14:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 15:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 16:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 17:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 18:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 19:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 20:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 21:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 22:00:00.000,1.40814,1.40814,1.40814,1.40814,0
07.04.2018 23:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 00:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 01:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 02:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 03:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 04:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 05:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 06:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 07:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 08:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 09:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 10:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 11:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 12:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 13:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 14:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 15:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 16:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 17:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 18:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 19:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 20:00:00.000,1.40814,1.40814,1.40814,1.40814,0
08.04.2018 21:00:00.000,1.40866,1.40888,1.40840,1.40877,582.54
08.04.2018 22:00:00.000,1.40877,1.40909,1.40818,1.40899,1495.58
08.04.2018 23:00:00.000,1.40902,1.40916,1.40852,1.40900,1965.1
09.04.2018 00:00:00.000,1.40900,1.40966,1.40858,1.40965,2418.4299
09.04.2018 01:00:00.000,1.40963,1.41012,1.40915,1.40931,2814.75
09.04.2018 02:00:00.000,1.40931,1.40967,1.40878,1.40962,1963.63
09.04.2018 03:00:00.000,1.40964,1.40976,1.40904,1.40954,2871.6001
09.04.2018 04:00:00.000,1.40954,1.40960,1.40929,1.40949,1375.6801
09.04.2018 05:00:00.000,1.40948,1.40986,1.40908,1.40956,2030.35
09.04.2018 06:00:00.000,1.40957,1.41178,1.40894,1.40997,7413.27
09.04.2018 07:00:00.000,1.40993,1.41167,1.40782,1.41126,10039.7998
09.04.2018 08:00:00.000,1.41126,1.41137,1.40985,1.41106,7233.1802
09.04.2018 09:00:00.000,1.41106,1.41152,1.40928,1.40928,5126.3301
09.04.2018 10:00:00.000,1.40931,1.41061,1.40839,1.41031,12852.6396
09.04.2018 11:00:00.000,1.41032,1.41194,1.40958,1.41181,6388.77
09.04.2018 12:00:00.000,1.41183,1.41447,1.41155,1.41438,8031.1299
09.04.2018 13:00:00.000,1.41439,1.41644,1.41419,1.41452,8562.1699
09.04.2018 14:00:00.000,1.41454,1.41523,1.41252,1.41272,8732.5303
09.04.2018 15:00:00.000,1.41270,1.41389,1.41229,1.41346,7383.8901
09.04.2018 16:00:00.000,1.41345,1.41438,1.41240,1.41344,5791.9199
09.04.2018 17:00:00.000,1.41344,1.41432,1.41268,1.41309,4474.3501
09.04.2018 18:00:00.000,1.41309,1.41380,1.41275,1.41331,5090.9199
09.04.2018 19:00:00.000,1.41331,1.41332,1.41244,1.41293,5622.5601
09.04.2018 20:00:00.000,1.41291,1.41318,1.41260,1.41294,2778.48
09.04.2018 21:00:00.000,1.41294,1.41380,1.41252,1.41280,1395.4
09.04.2018 22:00:00.000,1.41281,1.41332,1.41281,1.41313,1037.25
09.04.2018 23:00:00.000,1.41313,1.41349,1.41292,1.41330,1226.45
10.04.2018 00:00:00.000,1.41327,1.41402,1.41311,1.41348,2174.03
10.04.2018 01:00:00.000,1.41349,1.41392,1.41265,1.41268,3592.4199
10.04.2018 02:00:00.000,1.41269,1.41311,1.41199,1.41286,4440.2998
10.04.2018 03:00:00.000,1.41289,1.41359,1.41245,1.41355,3166.76
10.04.2018 04:00:00.000,1.41356,1.41367,1.41321,1.41366,1557.3
10.04.2018 05:00:00.000,1.41367,1.41370,1.41275,1.41329,2355.96
10.04.2018 06:00:00.000,1.41337,1.41498,1.41254,1.41474,6331.54
10.04.2018 07:00:00.000,1.41470,1.41684,1.41365,1.41614,8726.5098
10.04.2018 08:00:00.000,1.41612,1.41685,1.41485,1.41666,7803.21
10.04.2018 09:00:00.000,1.41663,1.41789,1.41654,1.41682,6541.52
10.04.2018 10:00:00.000,1.41683,1.41707,1.41555,1.41579,6242.5498
10.04.2018 11:00:00.000,1.41579,1.41878,1.41513,1.41717,11294.2197
10.04.2018 12:00:00.000,1.41717,1.41820,1.41554,1.41618,8156.1001
10.04.2018 13:00:00.000,1.41617,1.41800,1.41601,1.41776,9216.6602
10.04.2018 14:00:00.000,1.41779,1.41811,1.41680,1.41729,8068.1001
10.04.2018 15:00:00.000,1.41730,1.41771,1.41538,1.41595,9391.8701
10.04.2018 16:00:00.000,1.41595,1.41712,1.41448,1.41453,7405.6299
10.04.2018 17:00:00.000,1.41455,1.41709,1.41452,1.41650,6286.6602
10.04.2018 18:00:00.000,1.41647,1.41850,1.41609,1.41829,5271.46
10.04.2018 19:00:00.000,1.41828,1.41830,1.41715,1.41762,4298.3701
10.04.2018 20:00:00.000,1.41760,1.41765,1.41724,1.41742,2163.74
10.04.2018 21:00:00.000,1.41744,1.41778,1.41700,1.41750,1484.83
10.04.2018 22:00:00.000,1.41752,1.41806,1.41725,1.41768,1853.37
10.04.2018 23:00:00.000,1.41756,1.41837,1.41745,1.41812,1318.3199
11.04.2018 00:00:00.000,1.41811,1.41826,1.41759,1.41799,2429.1699
11.04.2018 01:00:00.000,1.41799,1.41821,1.41735,1.41743,2635.6399
11.04.2018 02:00:00.000,1.41743,1.41827,1.41733,1.41764,2964.1699
11.04.2018 03:00:00.000,1.41764,1.41818,1.41763,1.41812,2137.1001
11.04.2018 04:00:00.000,1.41812,1.41813,1.41782,1.41808,2145.6299
11.04.2018 05:00:00.000,1.41808,1.41898,1.41808,1.41865,2742.8501
11.04.2018 06:00:00.000,1.41865,1.42149,1.41836,1.42052,6233.8398
11.04.2018 07:00:00.000,1.42054,1.42230,1.41994,1.42088,8204.5703
11.04.2018 08:00:00.000,1.42087,1.42147,1.41918,1.41943,6435.1499
11.04.2018 09:00:00.000,1.41944,1.42017,1.41823,1.41927,5933.1401
11.04.2018 10:00:00.000,1.41929,1.42015,1.41883,1.41952,6150.1499
11.04.2018 11:00:00.000,1.41949,1.41972,1.41609,1.41647,9078.0303
11.04.2018 12:00:00.000,1.41647,1.41908,1.41632,1.41803,8485.4697
11.04.2018 13:00:00.000,1.41802,1.41993,1.41751,1.41948,6696.0098
11.04.2018 14:00:00.000,1.41946,1.42201,1.41939,1.42066,9387.2002
11.04.2018 15:00:00.000,1.42065,1.42112,1.41892,1.41936,8917.9404
11.04.2018 16:00:00.000,1.41936,1.42032,1.41732,1.41754,7424.1699
11.04.2018 17:00:00.000,1.41757,1.41906,1.41757,1.41873,4703.1201
11.04.2018 18:00:00.000,1.41872,1.41907,1.41608,1.41718,6815.2998
11.04.2018 19:00:00.000,1.41718,1.41772,1.41699,1.41753,4243.5498
11.04.2018 20:00:00.000,1.41752,1.41821,1.41745,1.41746,2490.73
11.04.2018 21:00:00.000,1.41741,1.41791,1.41719,1.41772,1220.24
11.04.2018 22:00:00.000,1.41768,1.41839,1.41766,1.41801,1292.6899
11.04.2018 23:00:00.000,1.41801,1.41887,1.41780,1.41872,1372.16
12.04.2018 00:00:00.000,1.41871,1.41973,1.41867,1.41946,1924.16
12.04.2018 01:00:00.000,1.41946,1.41977,1.41795,1.41832,2229.9099
12.04.2018 02:00:00.000,1.41833,1.41841,1.41786,1.41789,2596.97
12.04.2018 03:00:00.000,1.41789,1.41854,1.41769,1.41829,2213.55
12.04.2018 04:00:00.000,1.41828,1.41830,1.41711,1.41735,2158.05
12.04.2018 05:00:00.000,1.41739,1.41831,1.41722,1.41789,2344.1299
12.04.2018 06:00:00.000,1.41788,1.41951,1.41755,1.41808,5481.0898
12.04.2018 07:00:00.000,1.41808,1.41947,1.41720,1.41823,8022.5601
12.04.2018 08:00:00.000,1.41822,1.41879,1.41539,1.41572,7134.02
12.04.2018 09:00:00.000,1.41572,1.41723,1.41451,1.41694,8030.6201
12.04.2018 10:00:00.000,1.41694,1.41888,1.41675,1.41865,8348.9004
12.04.2018 11:00:00.000,1.41864,1.42178,1.41864,1.42038,12220.7998
12.04.2018 12:00:00.000,1.42037,1.42086,1.41873,1.41888,10830.8799
12.04.2018 13:00:00.000,1.41887,1.42031,1.41847,1.41958,10740.9902
12.04.2018 14:00:00.000,1.41958,1.42396,1.41889,1.42317,12410.3096
12.04.2018 15:00:00.000,1.42320,1.42464,1.42238,1.42428,8960.0898
12.04.2018 16:00:00.000,1.42428,1.42436,1.42265,1.42266,5211.2402
12.04.2018 17:00:00.000,1.42266,1.42314,1.42229,1.42266,5263.02
12.04.2018 18:00:00.000,1.42267,1.42334,1.42218,1.42273,3782.53
12.04.2018 19:00:00.000,1.42267,1.42293,1.42237,1.42252,2356.3799
12.04.2018 20:00:00.000,1.42250,1.42311,1.42249,1.42268,2521.75
12.04.2018 21:00:00.000,1.42268,1.42347,1.42237,1.42335,954.76
12.04.2018 22:00:00.000,1.42336,1.42338,1.42297,1.42305,1066.7
12.04.2018 23:00:00.000,1.42305,1.42395,1.42296,1.42389,1555.23
13.04.2018 00:00:00.000,1.42389,1.42437,1.42346,1.42408,2260.8
13.04.2018 01:00:00.000,1.42408,1.42449,1.42323,1.42337,2271.02
13.04.2018 02:00:00.000,1.42335,1.42365,1.42272,1.42361,2284
13.04.2018 03:00:00.000,1.42363,1.42405,1.42339,1.42344,1675.4
13.04.2018 04:00:00.000,1.42343,1.42353,1.42303,1.42331,1354.35
13.04.2018 05:00:00.000,1.42331,1.42335,1.42282,1.42300,1603.04
13.04.2018 06:00:00.000,1.42300,1.42545,1.42205,1.42525,7515.9199
13.04.2018 07:00:00.000,1.42524,1.42756,1.42475,1.42721,8253.0898
13.04.2018 08:00:00.000,1.42725,1.42952,1.42710,1.42843,7529.6699
13.04.2018 09:00:00.000,1.42841,1.42886,1.42761,1.42828,5852.54
13.04.2018 10:00:00.000,1.42827,1.42961,1.42769,1.42770,5717.7202
13.04.2018 11:00:00.000,1.42771,1.42787,1.42488,1.42557,8623.0303
13.04.2018 12:00:00.000,1.42557,1.42697,1.42504,1.42580,5488.52
13.04.2018 13:00:00.000,1.42583,1.42659,1.42519,1.42574,6512.5
13.04.2018 14:00:00.000,1.42576,1.42682,1.42403,1.42472,7792.6499
13.04.2018 15:00:00.000,1.42473,1.42592,1.42396,1.42508,7369.77
13.04.2018 16:00:00.000,1.42514,1.42609,1.42490,1.42490,4942.6499
13.04.2018 17:00:00.000,1.42490,1.42547,1.42440,1.42494,3698.8899
13.04.2018 18:00:00.000,1.42493,1.42494,1.42341,1.42365,3232.8601
13.04.2018 19:00:00.000,1.42364,1.42450,1.42356,1.42445,4187.9902
13.04.2018 20:00:00.000,1.42445,1.42463,1.42306,1.42372,2747.03
13.04.2018 21:00:00.000,1.42372,1.42372,1.42372,1.42372,0
13.04.2018 22:00:00.000,1.42372,1.42372,1.42372,1.42372,0
13.04.2018 23:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 00:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 01:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 02:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 03:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 04:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 05:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 06:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 07:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 08:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 09:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 10:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 11:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 12:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 13:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 14:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 15:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 16:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 17:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 18:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 19:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 20:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 21:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 22:00:00.000,1.42372,1.42372,1.42372,1.42372,0
14.04.2018 23:00:00.000,1.42372,1.42372,1.42372,1.42372,0
15.04.2018 00:00:00.000,1.42372,1.42372,1.42372,1.42372,0
15.04.2018 01:00:00.000,1.42372,1.42372,1.42372,1.42372,0
15.04.2018 02:00:00.000,1.42372,1.42372,1.42372,1.42372,0
15.04.2018 03:00:00.000,1.42372,1.42372,1.42372,1.42372,0
15.04.2018 04:00:00.000,1.42372,1.42372,1.42372,1.42372,0
15.04.2018 05:00:00.000,1.42372,1.42372,1.42372,1.42372,0
15.04.2018 06:00:00.000,1.42372,1.42372,1.42372,1.42372,0
15.04.2018 07:00:00.000,1.42372,1.42372,1.42372,1.42372,0
15.04.2018 08:00:00.000,1.42372,1.42372,1.42372,1.42372,0
15.04.2018 09:00:00.000,1.42372,1.42372,1.42372,1.42372,0
15.04.2018 10:00:00.000,1.42372,1.42372,1.42372,1.42372,0
